"state","pm_kisan_beneficiaries","jdy_beneficiaries","mgnrega_funding","pmayg_funding","sbmg_funding","jjm_funding","total_funding"
"Andaman and Nicobar Islands",46756,61287,76820000,0,0,82583000,NA
"Andhra Pradesh",13351217,14846018,72256240000,12892320000,4376400000,31828810000,8.68813e+11
"Arunachal Pradesh",277530,451831,5059280000,690910000,230300000,10135311000,1.83409e+11
"Assam",3291011,23375187,25242320000,8.19e+10,5135600000,56011588000,6.18477e+11
"Bihar",24264713,57912355,71021440000,82796180000,6515400000,66082496000,1.486118e+12
"Chandigarh",1153,324585,NA,NA,NA,NA,NA
"Chhattisgarh",8643506,17373976,45005260000,0,2075800000,19089560000,4.49263e+11
"Dadra and Nagar Haveli and Daman and Diu",28687,231239,0,141840000,57500000,0,NA
"Delhi",43072,6222972,NA,NA,NA,NA,1.8355e+11
"Goa",26689,207564,41400000,0,612700000,455300000,6.1858e+10
"Gujarat",16987935,18471347,17644560000,1842410000,3427300000,34106144000,4.14753e+11
"Haryana",5452291,9795585,7932680000,578740000,1.818e+09,11199511000,2.421e+11
"Himachal Pradesh",2786623,1879970,12081880000,253010000,2691300000,12627803000,2.50627e+11
"Jammu and Kashmir",2848091,2752511,9.836e+09,4566670000,2469800000,27471680000,6.26615e+11
"Jharkhand",4868628,18398554,32795450000,29052290000,1485100000,24798788000,4.07515e+11
"Karnataka",13841975,19035926,68872780000,0,0,50087961000,5.47506e+11
"Kerala",10384333,6169489,37433710000,958100000,346800000,18045907000,4.729e+11
"Ladakh",51057,22166,590440000,NA,142500000,14299605000,NA
"Lakshadweep",NA,10365,50000,0,0,0,NA
"Madhya Pradesh",25039587,43178717,93938120000,43094740000,6689600000,51167887000,9.54793e+11
"Maharashtra",29931591,34196613,27405350000,28218310000,13727300000,70644109000,1.008622e+12
"Manipur",845105,1074545,10281160000,1367030000,483400000,4811895000,1.90779e+11
"Meghalaya",557992,762063,12029490000,1.296e+09,1657100000,6783902000,1.20261e+11
"Mizoram",301248,376568,6643870000,502560000,176200000,3038865000,8.2545e+10
"Nagaland",570666,384612,6782390000,577160000,180200000,4448111000,1.3124e+11
"Odisha",9428240,21170767,79213650000,58860940000,0,33234160000,6.99e+11
"Puducherry",30709,216529,134070000,0,68900000,302204000,3.545e+10
"Punjab",5212219,8980798,13635970000,1232420000,528700000,16563906000,5.16601e+11
"Rajasthan",20963425,34971902,107970950000,28584430000,5518500000,101804959000,8.11893e+11
"Sikkim",28892,89749,1299040000,8190000,197300000,1247862000,5.9745e+10
"Tamil Nadu",11157364,15472800,95849640000,20871860000,262900000,36912090000,7.41625e+11
"Telangana",10748656,11728830,42447310000,0,1806700000,16530929000,5.28596e+11
"Tripura",646176,1020334,10979600000,21468330000,841900000,6140930000,1.55981e+11
"Uttar Pradesh",71807907,92072318,89864780000,31214590000,18258500000,108704970000,2.086738e+12
"Uttarakhand",2606228,3566767,6389600000,239690000,787600000,14437993000,2.82532e+11
"West Bengal",10242888,50545479,92731330000,28442740000,6450800000,69989684000,1.167212e+12
