"State_Name","votes","eligible_voters","BJP_vote_share"
"Andaman and Nicobar Islands",93901,318471,29.484945254042
"Andhra Pradesh",303985,37859029,0.802939240729074
"Arunachal Pradesh",379679,803563,47.2494378163255
"Assam",6484596,14995048,43.2449165884631
"Bihar",9619548,30528989,31.5095531004974
"Chandigarh",231188,646729,35.74727590691
"Chhattisgarh",6902477,19016462,36.2973775037649
"Delhi",4908541,14327649,34.2592214535685
"Goa",436650,1136113,38.4336769317841
"Gujarat",18091275,45152373,40.0671632474333
"Haryana",7357347,18057010,40.745101210001
"Himachal Pradesh",2661281,5330154,49.9287825454949
"Jammu and Kashmir",1648041,7922538,20.8019324110531
"Jharkhand",7623987,20755443,36.7324706102394
"Karnataka",18053454,49382526,36.5583850449448
"Kerala",2635810,19859372,13.2723733660863
"Lakshadweep",125,55189,0.226494410117958
"Madhya Pradesh",21406911,51867474,41.2723222264497
"Maharashtra",15463813,48088568,32.1569421655475
"Manipur",553377,1959563,28.2398167346495
"Meghalaya",108390,1914796,5.66065523429128
"Mizoram",28707,792464,3.62249894001494
"Odisha",9130768,32497762,28.0966055447141
"Punjab",1325445,4700659,28.1970038669046
"Rajasthan",18968392,47022644,40.338846109972
"Sikkim",16572,434128,3.81730733792798
"Tamil Nadu",1551924,7999696,19.3997871919133
"Telangana",3626173,29708615,12.2057961975003
"Tripura",1055658,2614718,40.3736846573894
"Uttar Pradesh",42858171,142565915,30.0620039509444
"Uttarakhand",2954833,7856318,37.6109139166719
"West Bengal",23028517,70001284,32.8972779985007
"Dadra and Nagar Haveli and Daman and Diu",119017,371769,32.0136966772377
