"state","pm_kisan_beneficiaries","jdy_beneficiaries","mgnrega_funding","pmayg_funding","sbmg_funding","jjm_funding","total_funding","population","rural_population","pct_rural_pop","rural_unemp","urban_unemp","tax_revenue","gdp","power_availability","literacy_rate","mpi_score","pm_kisan_beneficiaries_pgpc","jdy_beneficiaries_pgpc","mgnrega_funding_pgpc","pmayg_funding_pgpc","sbmg_funding_pgpc","jjm_funding_pgpc","total_funding_pgpc","UT","BJP_votes","eligible_voters","BJP_vote_share","hindu_pop","pct_hindus"
"Andaman and Nicobar Islands",46756,61287,76820000,0,0,82583000,NA,381000,237000,62.2047244094488,5.9,9.9,NA,103705200000,3.3e+07,86.63,0.009,0.122719160104987,0.160858267716535,201.627296587927,0,0,216.753280839895,NA,1,93901,318471,29.484945254042,264296,69.45
"Andhra Pradesh",13351217,14846018,72256240000,12892320000,4376400000,31828810000,8.68813e+11,84581000,56362000,66.6367151015003,3.5,6.3,7.3632e+11,1.1338365e+13,6.822e+09,67.02,0.0278169266,0.15785125500999,0.175524266679278,854.284531987089,152.425722088885,51.7421170239179,376.311582979629,10271.9641527057,0,303985,37859029,0.802939240729074,74824149,90.89
"Arunachal Pradesh",277530,451831,5059280000,690910000,230300000,10135311000,1.83409e+11,1384000,1066000,77.0231213872832,6.9,12,2.258e+10,351235400000,8.7e+07,65.39,0.0540713219,0.200527456647399,0.326467485549133,3655.54913294798,499.212427745665,166.401734104046,7323.20158959538,132520.953757225,0,379679,803563,47.2494378163255,401876,29.04
"Assam",3291011,23375187,25242320000,8.19e+10,5135600000,56011588000,6.18477e+11,31206000,26807000,85.9033519195027,3.2,9.4,2.1985e+11,4126118700000,1.083e+09,72.19,0.08991838,0.105460840863936,0.749060661411267,808.893161571493,2624.49528936743,164.570915849516,1794.89803242966,19819.1693905018,0,6484596,14995048,43.2449165884631,19180759,61.47
"Bihar",24264713,57912355,71021440000,82796180000,6515400000,66082496000,1.486118e+12,104099000,92341000,88.7049827567988,5.5,10.3,3.505e+11,6503024300000,3.576e+09,61.8,0.1543994649,0.233092661793101,0.556319993467757,682.249012958818,795.359993852006,62.5884974879682,634.804330493088,14276.0064938184,0,9619548,30528989,31.5095531004974,86078686,82.69
"Chandigarh",1153,324585,NA,NA,NA,NA,NA,1055000,29000,2.74881516587678,5,6.3,NA,456352600000,1.61e+08,86.05,0.017,0.00109289099526066,0.307663507109005,NA,NA,NA,NA,NA,1,231188,646729,35.74727590691,852574,80.78
"Chhattisgarh",8643506,17373976,45005260000,0,2075800000,19089560000,4.49263e+11,25545000,19608000,76.7586611861421,1.6,7.2,2.75e+11,4064158200000,3.187e+09,70.28,0.0731745889,0.338363906831082,0.680132158935212,1761.80309258172,0,81.2605206498336,747.291446467019,17587.1207672734,0,6902477,19016462,36.2973775037649,23819789,93.25
"Dadra and Nagar Haveli and Daman and Diu",28687,231239,0,141840000,57500000,0,NA,587000,243000,41.396933560477,5.7,4.7,NA,NA,9.43e+08,81.67,0.039,0.048870528109029,0.393933560477002,0,241.635434412266,97.9557069846678,0,NA,1,119017,371769,32.0136966772377,543007,92.5123859369356
"Delhi",43072,6222972,NA,NA,NA,NA,1.8355e+11,16788000,419000,2.49583035501549,3.9,5.3,3.835e+11,9046420400000,3.112e+09,86.21,0.0133876585,0.00256564212532761,0.370679771265189,NA,NA,NA,NA,10933.4048129616,1,4908541,14327649,34.2592214535685,13712100,81.68
"Goa",26689,207564,41400000,0,612700000,455300000,6.1858e+10,1459000,552000,37.8341329677862,12.5,11.6,5.72e+10,8.26037e+11,4.45e+08,88.7,0.0053279984,0.0182926662097327,0.142264564770391,28.3755997258396,0,419.945167923235,312.06305688828,42397.5325565456,0,436650,1136113,38.4336769317841,963877,66.08
"Gujarat",16987935,18471347,17644560000,1842410000,3427300000,34106144000,4.14753e+11,60440000,34695000,57.4040370615486,1.5,2.8,1.053e+12,19370664600000,1.2367e+10,78.03,0.0590249641,0.281071062210457,0.305614609530112,291.935142289874,30.4832892124421,56.7058239576439,564.297551290536,6862.22700198544,0,18091275,45152373,40.0671632474333,53533988,88.57
"Haryana",5452291,9795585,7932680000,578740000,1.818e+09,11199511000,2.421e+11,25351000,16509000,65.1216914520137,9,8.9,6.4992e+11,8706645300000,5.521e+09,75.55,0.0298069949,0.215072028716816,0.386398366928326,312.913888998462,22.8290797207211,71.7131474103586,441.777878584671,9549.91913533983,0,7357347,18057010,40.745101210001,22171128,87.46
"Himachal Pradesh",2786623,1879970,12081880000,253010000,2691300000,12627803000,2.50627e+11,6865000,6176000,89.9635833940277,3.6,8.7,9.77e+10,1762694700000,1.209e+09,82.8,0.0203555178,0.405917407137655,0.273848506919155,1759.92425345958,36.8550619082301,392.032046613256,1839.44690458849,36507.938820102,0,2661281,5330154,49.9287825454949,6532765,95.17
"Jammu and Kashmir",2848091,2752511,9.836e+09,4566670000,2469800000,27471680000,6.26615e+11,12541000,9108000,72.6257874172714,3.7,12.9,1.548e+11,1999174200000,1.843e+09,67.16,0.0248830893,0.22710238417989,0.219480982377801,784.307471493501,364.13922334742,196.938043218244,2190.54939797464,49965.3137708317,1,1648041,7922538,20.8019324110531,3566674,28.44
"Jharkhand",4868628,18398554,32795450000,29052290000,1485100000,24798788000,4.07515e+11,32988000,25055000,75.9518612828907,1.2,6.1,2.0711e+11,3588625900000,1.059e+09,66.41,0.13180703,0.147587850127319,0.557734752031042,994.163028980235,880.692676124651,45.019400994301,751.751788529162,12353.431550867,0,7623987,20755443,36.7324706102394,22376051,67.83
"Karnataka",13841975,19035926,68872780000,0,0,50087961000,5.47506e+11,61095000,37469000,61.3290776659301,2.3,5,1.11498e+12,19627254200000,7.242e+09,75.37,0.0333339462,0.226564776168263,0.311579114493821,1127.30632621327,0,0,819.837318929536,8961.55168180702,0,18053454,49382526,36.5583850449448,51317472,84
"Kerala",10384333,6169489,37433710000,958100000,346800000,18045907000,4.729e+11,33406000,17471000,52.2989882057116,9,10.3,5.8868e+11,9324699600000,2.657e+09,94,0.0030631848,0.310852331916422,0.184682063102437,1120.56846075555,28.6804765610968,10.3813686164162,540.19957492666,14156.1396156379,0,2635810,19859372,13.2723733660863,18282492,54.73
"Ladakh",51057,22166,590440000,NA,142500000,14299605000,NA,NA,NA,NA,2.7,9.7,NA,NA,NA,NA,0.015,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Lakshadweep",NA,10365,50000,0,0,0,NA,64000,14000,21.875,6.6,21.1,NA,NA,6e+06,91.85,0.004,NA,0.161953125,0.78125,0,0,0,NA,1,125,55189,0.226494410117958,1788,2.77
"Madhya Pradesh",25039587,43178717,93938120000,43094740000,6689600000,51167887000,9.54793e+11,72627000,52557000,72.3656491387501,1.3,4.9,6.4297e+11,11361371900000,8.646e+09,69.32,0.0994171727,0.344769672435871,0.594527062938026,1293.43247001804,593.370784969777,92.1089952772385,704.529816734823,13146.5295275862,0,21406911,51867474,41.2723222264497,66007121,90.89
"Maharashtra",29931591,34196613,27405350000,28218310000,13727300000,70644109000,1.008622e+12,112374000,61556000,54.777795575489,2.5,5,2.27237e+12,31080218700000,1.7281e+10,82.34,0.0356919448,0.266356906401837,0.304310721341235,243.876252513927,251.110666168331,122.15726057629,628.651725488102,8975.58154021393,0,15463813,48088568,32.1569421655475,89703056,79.83
"Manipur",845105,1074545,10281160000,1367030000,483400000,4811895000,1.90779e+11,2856000,2022000,70.7983193277311,9.5,7.7,1.903e+10,365944700000,1.02e+08,79.2,0.0383464253,0.295905112044818,0.376241246498599,3599.84593837535,478.651960784314,169.257703081233,1684.83718487395,66799.3697478992,0,553377,1959563,28.2398167346495,1181876,41.39
"Meghalaya",557992,762063,12029490000,1.296e+09,1657100000,6783902000,1.20261e+11,2967000,2371000,79.912369396697,1.5,8.9,2.579e+10,3.87847e+11,2.24e+08,74.43,0.1230173828,0.188066059993259,0.256846309403438,4054.42871587462,436.80485338726,558.510279743849,2286.45163464779,40532.8614762386,0,108390,1914796,5.66065523429128,342078,11.53
"Mizoram",301248,376568,6643870000,502560000,176200000,3038865000,8.2545e+10,1097000,525000,47.8577939835916,4,7.2,7.87e+09,2.78235e+11,6.4e+07,91.33,0.0245889653,0.274610756608933,0.343270738377393,6056.39927073838,458.122151321787,160.619872379216,2770.15952597995,75246.1257976299,0,28707,792464,3.62249894001494,30136,2.75
"Nagaland",570666,384612,6782390000,577160000,180200000,4448111000,1.3124e+11,1979000,1408000,71.1470439615968,7.5,14.6,1.335e+10,319125400000,8.5e+07,79.6,0.0660178088,0.288360788276908,0.194346639717029,3427.18039413845,291.642243557352,91.056088933805,2247.65588681152,66316.3213744315,0,NA,NA,NA,173054,8.75
"Odisha",9428240,21170767,79213650000,58860940000,0,33234160000,6.99e+11,41974000,34971000,83.3158622004098,5.4,10.5,4.1467e+11,6708812300000,3.833e+09,72.89,0.0863464205,0.224620955829799,0.504378115023586,1887.20755705913,1402.31905465288,0,791.779673130986,16653.1662457712,0,9130768,32497762,28.0966055447141,39300341,93.63
"Puducherry",30709,216529,134070000,0,68900000,302204000,3.545e+10,1248000,395000,31.650641025641,7.5,4.5,3.049e+10,442378600000,2.89e+08,85.85,0.003,0.0246065705128205,0.173500801282051,107.427884615385,0,55.2083333333333,242.150641025641,28405.4487179487,1,NA,NA,NA,1089409,87.3
"Punjab",5212219,8980798,13635970000,1232420000,528700000,16563906000,5.16601e+11,27743000,17344000,62.5166708719317,6.6,6.1,3.8062e+11,6142267600000,6.241e+09,75.84,0.0188288032,0.187875103629744,0.323714017950474,491.510290884187,44.4227372670584,19.0570594384169,597.048120246549,18620.9494286847,0,1325445,4700659,28.1970038669046,10678138,38.49
"Rajasthan",20963425,34971902,107970950000,28584430000,5518500000,101804959000,8.11893e+11,68548000,51500000,75.1298360273093,2.9,10.8,8.2803e+11,12181934500000,8.931e+09,66.11,0.0679440979,0.305821103460349,0.510181216082161,1575.11451829375,416.99874540468,80.5056310906226,1485.16308280329,11844.1530022758,0,18968392,47022644,40.338846109972,60657103,88.49
"Sikkim",28892,89749,1299040000,8190000,197300000,1247862000,5.9745e+10,611000,457000,74.7954173486088,1.3,3,1.195e+10,3.75574e+11,6.1e+07,81.42,0.0140003059,0.0472864157119476,0.146888707037643,2126.0883797054,13.4042553191489,322.91325695581,2042.32733224223,97782.3240589198,0,16572,434128,3.81730733792798,352662,57.76
"Tamil Nadu",11157364,15472800,95849640000,20871860000,262900000,36912090000,7.41625e+11,72147000,37230000,51.6029772547715,4.2,5.7,1.21858e+12,20712861600000,1.098e+10,80.09,0.0141683237,0.154647649936934,0.214462139797913,1328.53257931723,289.296297836362,3.64394915935521,511.623352322342,10279.3601951571,0,1551924,7999696,19.3997871919133,63188168,87.58
"Telangana",10748656,11728830,42447310000,0,1806700000,16530929000,5.28596e+11,NA,NA,NA,3.1,6.9,9.291e+11,11289072400000,7.052e+09,NA,0.024,NA,NA,NA,NA,NA,NA,NA,0,3626173,29708615,12.2057961975003,NA,NA
"Tripura",646176,1020334,10979600000,21468330000,841900000,6140930000,1.55981e+11,3674000,2712000,73.8160043549265,3.1,4.3,2.251e+10,625504400000,1.58e+08,87.22,0.0634734071,0.175878062057703,0.277717474142624,2988.45944474687,5843.31246597714,229.15078933043,1671.45617855199,42455.3620032662,0,1055658,2614718,40.3736846573894,3063903,83.4
"Uttar Pradesh",71807907,92072318,89864780000,31214590000,18258500000,108704970000,2.086738e+12,199812000,155317000,77.7315676736132,2.1,6.7,1.6035e+12,19745315500000,1.2831e+10,67.68,0.0982533917,0.359377349708726,0.46079473705283,449.74666186215,156.219796608812,91.3783956919504,544.036244069425,10443.5068964827,0,42858171,142565915,30.0620039509444,159312654,79.73
"Uttarakhand",2606228,3566767,6389600000,239690000,787600000,14437993000,2.82532e+11,10086000,7037000,69.7699781875868,7,10.6,1.4122e+11,2721594800000,1.543e+09,78.82,0.0391229275,0.258400555225064,0.353635435256792,633.511798532619,23.7646242316082,78.0884394209796,1431.48849890938,28012.2942692842,0,2954833,7856318,37.6109139166719,8368636,82.97
"West Bengal",10242888,50545479,92731330000,28442740000,6450800000,69989684000,1.167212e+12,91276000,62183000,68.1263420833516,3.1,4.4,7.3905e+11,13639258600000,NA,76.26,0.0606670186,0.112218852710461,0.553765272360752,1015.9442788904,311.612472062755,70.6735615057627,766.791752486963,12787.7207590166,0,23028517,70001284,32.8972779985007,64385546,70.54
