State,State_UT_Code,Financial Year,Total Funds Available,Total Expenditure (Excluding Payments Due),Actual Fund Balance,Total Payments Due,Total Expenditure (Including Payments Due),Total  Fund Balance (Net),Extent of Fund Utilisation
Andhra Pradesh,1,2013-14,5344.793,5293.428,51.366,625.820,5919.248,-574.454,110.748
Arunachal Pradesh,2,2013-14,151.646,95.815,55.831,8.144,103.959,47.687,68.554
Assam,3,2013-14,770.876,699.588,71.289,2.501,702.089,68.788,91.077
Bihar,4,2013-14,2250.217,2030.710,219.507,192.059,2222.769,27.448,98.780
Chhattisgarh,5,2013-14,2199.609,2023.640,175.968,14.508,2038.149,161.460,92.660
Goa,6,2013-14,6.627,2.974,3.653,0.012,2.986,3.641,45.061
Gujarat,7,2013-14,478.027,488.497,-10.470,4.468,492.965,-14.938,103.125
Haryana,8,2013-14,440.785,381.272,59.513,4.090,385.362,55.424,87.426
Himachal Pradesh,9,2013-14,596.842,568.035,28.807,2.043,570.078,26.764,95.516
Jharkhand,10,2013-14,987.907,911.746,76.162,10.070,921.816,66.091,93.310
Karnataka,11,2013-14,2044.863,2062.967,-18.104,70.889,2133.856,-88.993,104.352
Kerala,12,2013-14,1320.962,1300.410,20.552,10.614,1311.024,9.938,99.248
Madhya Pradesh,13,2013-14,2453.495,2580.687,-127.193,50.101,2630.788,-177.293,107.226
Maharashtra,14,2013-14,1539.174,1266.484,272.690,24.656,1291.140,248.035,83.885
Manipur,15,2013-14,301.796,254.763,47.034,1.003,255.766,46.031,84.748
Meghalaya,16,2013-14,307.107,317.482,-10.375,17.473,334.955,-27.849,109.068
Mizoram,17,2013-14,259.910,257.720,2.190,2.997,260.717,-0.807,100.310
Nagaland,18,2013-14,324.375,294.799,29.576,51.524,346.323,-21.947,106.766
Odisha,19,2013-14,1364.999,1279.692,85.307,15.543,1295.235,69.764,94.889
Punjab,20,2013-14,262.697,255.124,7.573,1.871,256.995,5.702,97.829
Rajasthan,21,2013-14,2946.183,2624.729,321.454,19.762,2644.491,301.692,89.760
Sikkim,22,2013-14,117.881,108.892,8.988,2.343,111.236,6.645,94.363
Tamil Nadu,23,2013-14,5386.085,3903.442,1482.643,5.097,3908.539,1477.546,72.567
Telangana,24,2013-14,0.000,46.893,-46.893,12.911,59.804,-59.804,0.000
Tripura,25,2013-14,1116.715,1074.758,41.957,5.059,1079.817,36.898,96.696
Uttar Pradesh,26,2013-14,3958.001,3446.177,511.824,114.251,3560.428,397.573,89.955
Uttarakhand,27,2013-14,406.382,380.632,25.750,0.954,381.586,24.796,93.898
West Bengal,28,2013-14,3824.460,3724.039,100.421,167.402,3891.440,-66.981,101.751
A & N Islands,29,2013-14,20.023,17.560,2.463,0.369,17.929,2.094,89.543
Chandigarh,30,2013-14,NA,NA,NA,NA,NA,NA,NA
Dadra & N. Haveli,31,2013-14,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Daman & Diu,32,2013-14,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Delhi,33,2013-14,NA,NA,NA,NA,NA,NA,NA
Jammu & Kashmir,34,2013-14,800.796,764.381,36.415,37.549,801.930,-1.134,100.142
Ladakh,35,2013-14,NA,NA,NA,NA,NA,NA,NA
Lakshadweep,36,2013-14,1.127,0.736,0.391,0.004,0.741,0.386,65.738
Puducherry,37,2013-14,18.582,11.368,7.213,0.000,11.368,7.213,61.181
Andhra Pradesh,1,2014-15,3040.717,2895.032,145.686,3.776,2898.808,141.910,95.333
Arunachal Pradesh,2,2014-15,67.683,35.094,32.589,3.855,38.950,28.733,57.547
Assam,3,2014-15,586.268,497.046,89.223,12.986,510.032,76.236,86.996
Bihar,4,2014-15,1548.964,1056.333,492.631,106.530,1162.863,386.101,75.074
Chhattisgarh,5,2014-15,1781.535,1752.373,29.162,6.327,1758.700,22.834,98.718
Goa,6,2014-15,5.666,4.572,1.095,0.011,4.583,1.083,80.879
Gujarat,7,2014-15,359.509,470.133,-110.624,3.442,473.575,-114.066,131.728
Haryana,8,2014-15,215.886,215.705,0.181,2.178,217.883,-1.997,100.925
Himachal Pradesh,9,2014-15,419.165,405.954,13.211,2.362,408.316,10.849,97.412
Jharkhand,10,2014-15,891.514,1016.368,-124.854,17.080,1033.448,-141.933,115.920
Karnataka,11,2014-15,1955.128,1663.090,292.038,27.445,1690.535,264.593,86.467
Kerala,12,2014-15,1642.627,1616.707,25.920,7.388,1624.096,18.531,98.872
Madhya Pradesh,13,2014-15,2693.995,2808.206,-114.210,115.646,2923.851,-229.856,108.532
Maharashtra,14,2014-15,1626.942,1608.697,18.245,23.971,1632.668,-5.726,100.352
Manipur,15,2014-15,287.992,266.978,21.014,1.153,268.131,19.861,93.104
Meghalaya,16,2014-15,320.792,309.110,11.682,3.092,312.202,8.590,97.322
Mizoram,17,2014-15,114.229,114.201,0.028,0.000,114.201,0.028,99.976
Nagaland,18,2014-15,172.720,158.011,14.710,0.007,158.018,14.702,91.488
Odisha,19,2014-15,1110.976,1059.114,51.862,17.356,1076.470,34.506,96.894
Punjab,20,2014-15,215.382,212.392,2.990,1.152,213.544,1.839,99.146
Rajasthan,21,2014-15,3386.420,3252.665,133.755,6.522,3259.186,127.234,96.243
Sikkim,22,2014-15,80.913,76.434,4.479,1.507,77.942,2.971,96.328
Tamil Nadu,23,2014-15,4842.808,3623.894,1218.913,8.716,3632.610,1210.198,75.010
Telangana,24,2014-15,1696.600,1929.919,-233.319,0.000,1929.919,-233.319,113.752
Tripura,25,2014-15,719.199,816.895,-97.696,5.969,822.864,-103.665,114.414
Uttar Pradesh,26,2014-15,2957.838,3123.950,-166.112,40.402,3164.352,-206.514,106.982
Uttarakhand,27,2014-15,332.298,322.661,9.637,5.360,328.021,4.277,98.713
West Bengal,28,2014-15,3978.855,3987.898,-9.043,131.432,4119.330,-140.475,103.531
A & N Islands,29,2014-15,14.444,9.749,4.696,4.713,14.462,-0.018,100.123
Chandigarh,30,2014-15,NA,NA,NA,NA,NA,NA,NA
Dadra & N. Haveli,31,2014-15,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Daman & Diu,32,2014-15,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Delhi,33,2014-15,NA,NA,NA,NA,NA,NA,NA
Jammu & Kashmir,34,2014-15,468.158,390.796,77.362,19.381,410.177,57.981,87.615
Ladakh,35,2014-15,NA,NA,NA,NA,NA,NA,NA
